v0,N,dpsi_deg,vstar
250,2,0,253.6
250,2,2,164.5
250,2,4,-1.0
250,2,6,65.3
250,2,8,-1.0
250,2,10,216.7
250,2,12,182.7
250,2,14,-1.0
250,2,16,57.7
250,2,18,224.7
250,2,20,-1.0
250,2,22,46.5
250,2,24,73.1
250,2,26,-1.0
250,2,28,-1.0
250,2,30,201.4
250,2,32,63.7
250,2,34,67.9
250,2,36,-1.0
250,2,38,122.4
250,2,40,55.3
250,2,42,227.3
250,2,44,-1.0
250,2,46,-1.0
250,2,48,-1.0
250,2,50,224.4
250,2,52,-1.0
250,2,54,204.5
250,2,56,115.7
250,2,58,-1.0
250,2,60,-1.0
250,2,62,-1.0
250,2,64,112.6
250,2,66,-1.0
250,2,68,35.0
250,2,70,31.5
250,2,72,-1.0
250,2,74,-1.0
250,2,76,114.7
250,2,78,53.9
250,2,80,152.4
250,2,82,-1.0
250,2,84,-1.0
250,2,86,56.5
250,2,88,48.9
250,2,90,76.6
250,2,92,30.2
250,2,94,34.9
250,2,96,-1.0
250,2,98,-1.0
250,2,100,138.4
250,2,102,-1.0
250,2,104,-1.0
250,2,106,-1.0
250,2,108,48.6
250,2,110,-1.0
250,2,112,93.3
250,2,114,-1.0
250,2,116,38.6
250,2,118,-1.0
250,2,120,-1.0
250,2,122,97.0
250,2,124,-1.0
250,2,126,64.3
250,2,128,-1.0
250,2,130,-1.0
250,2,132,-1.0
250,2,134,41.0
250,2,136,80.2
250,2,138,46.2
250,2,140,42.6
250,2,142,-1.0
250,2,144,-1.0
250,2,146,64.8
250,2,148,45.3
250,2,150,-1.0
250,2,152,40.4
250,2,154,-1.0
250,2,156,-1.0
250,2,158,-1.0
250,2,160,-1.0
250,2,162,47.7
250,2,164,-1.0
250,2,166,-1.0
250,2,168,-1.0
250,2,170,45.3
250,2,172,37.5
250,2,174,53.4
250,2,176,-1.0
250,2,178,-1.0
250,2,180,30.0
250,4,0,253.6
250,4,2,199.6
250,4,4,245.4
250,4,6,220.7
250,4,8,204.7
250,4,10,221.8
250,4,12,226.0
250,4,14,234.8
250,4,16,241.4
250,4,18,245.6
250,4,20,208.2
250,4,22,254.2
250,4,24,167.5
250,4,26,243.1
250,4,28,197.3
250,4,30,207.9
250,4,32,240.4
250,4,34,230.3
250,4,36,254.3
250,4,38,249.8
250,4,40,243.0
250,4,42,227.3
250,4,44,211.1
250,4,46,220.0
250,4,48,228.4
250,4,50,234.8
250,4,52,219.0
250,4,54,242.9
250,4,56,238.6
250,4,58,232.4
250,4,60,225.7
250,4,62,195.3
250,4,64,234.9
250,4,66,228.7
250,4,68,218.4
250,4,70,208.3
250,4,72,237.8
250,4,74,225.8
250,4,76,216.4
250,4,78,210.3
250,4,80,197.3
250,4,82,217.5
250,4,84,218.5
250,4,86,202.9
250,4,88,197.2
250,4,90,189.3
250,4,92,215.8
250,4,94,200.6
250,4,96,196.7
250,4,98,197.6
250,4,100,177.6
250,4,102,208.7
250,4,104,203.2
250,4,106,195.1
250,4,108,185.5
250,4,110,166.6
250,4,112,195.7
250,4,114,187.9
250,4,116,183.0
250,4,118,179.5
250,4,120,167.2
250,4,122,189.4
250,4,124,181.9
250,4,126,177.2
250,4,128,168.4
250,4,130,161.8
250,4,132,177.6
250,4,134,170.6
250,4,136,166.3
250,4,138,135.0
250,4,140,145.7
250,4,142,150.2
250,4,144,160.1
250,4,146,149.7
250,4,148,150.5
250,4,150,129.2
250,4,152,143.2
250,4,154,144.1
250,4,156,144.2
250,4,158,139.3
250,4,160,135.6
250,4,162,118.7
250,4,164,136.8
250,4,166,129.9
250,4,168,130.8
250,4,170,131.6
250,4,172,132.3
250,4,174,112.4
250,4,176,117.1
250,4,178,112.5
250,4,180,123.6
250,6,0,255.0
250,6,2,256.1
250,6,4,248.7
250,6,6,236.8
250,6,8,241.1
250,6,10,235.6
250,6,12,246.8
250,6,14,255.0
250,6,16,245.0
250,6,18,249.5
250,6,20,258.8
250,6,22,257.8
250,6,24,253.2
250,6,26,252.4
250,6,28,244.1
250,6,30,244.8
250,6,32,249.5
250,6,34,231.5
250,6,36,257.9
250,6,38,253.4
250,6,40,252.4
250,6,42,242.5
250,6,44,220.1
250,6,46,249.5
250,6,48,239.7
250,6,50,238.1
250,6,52,228.6
250,6,54,246.5
250,6,56,242.2
250,6,58,254.9
250,6,60,250.4
250,6,62,249.4
250,6,64,238.9
250,6,66,234.1
250,6,68,246.6
250,6,70,242.2
250,6,72,241.5
250,6,74,231.7
250,6,76,249.6
250,6,78,245.1
250,6,80,238.5
250,6,82,233.8
250,6,84,227.2
250,6,86,241.4
250,6,88,237.1
250,6,90,231.0
250,6,92,225.2
250,6,94,238.4
